Date,Open,High,Low,Close,Adj Close,Volume
2023-04-24,82.054802,82.154900,81.860001,82.054802,82.054802,0
2023-04-25,81.852303,82.018799,81.851303,81.852303,81.852303,0
2023-04-26,81.991600,82.092003,81.681503,81.991600,81.991600,0
2023-04-27,81.766899,81.850998,81.603996,81.766899,81.766899,0
2023-04-28,81.765099,81.861099,81.691002,81.765099,81.765099,0
2023-05-01,81.744797,81.924004,81.705803,81.744797,81.744797,0
2023-05-02,81.774696,81.950996,81.718903,81.774696,81.774696,0
2023-05-03,81.778702,81.894302,81.711502,81.778702,81.778702,0
2023-05-04,81.779999,81.883797,81.616997,81.779999,81.779999,0
2023-05-05,81.716103,81.817200,81.645500,81.716103,81.716103,0
2023-05-08,81.729797,81.825302,81.673401,81.729797,81.729797,0
2023-05-09,81.787102,82.148499,81.775002,81.787102,81.787102,0
2023-05-10,82.105003,82.212799,81.865997,82.105003,82.105003,0
2023-05-11,81.919899,82.178596,81.781502,81.919899,81.919899,0
2023-05-12,82.100304,82.225601,82.065002,82.100304,82.100304,0
2023-05-15,82.200302,82.373596,82.183998,82.200302,82.200302,0
2023-05-16,82.266701,82.314499,82.157997,82.266701,82.266701,0
2023-05-17,82.295998,82.448303,82.250000,82.295998,82.295998,0
2023-05-18,82.450302,82.791496,82.342499,82.450302,82.450302,0
2023-05-19,82.725098,82.949402,82.637001,82.725098,82.725098,0
2023-05-22,82.904800,82.905098,82.730003,82.904800,82.904800,0
2023-05-23,82.824997,82.877296,82.757004,82.824997,82.824997,0
2023-05-24,82.890602,82.941002,82.574799,82.890602,82.890602,0
2023-05-25,82.713699,82.809700,82.640503,82.713699,82.713699,0
2023-05-26,82.742104,82.809998,82.533699,82.742104,82.742104,0
2023-05-29,82.574799,82.737701,82.508797,82.574799,82.574799,0
2023-05-30,82.579697,82.784500,82.529999,82.579697,82.579697,0
2023-05-31,82.683899,82.752602,82.620102,82.683899,82.683899,0
2023-06-01,82.666801,82.711998,82.314499,82.666801,82.666801,0
2023-06-02,82.276703,82.431801,82.234497,82.276703,82.276703,0
2023-06-05,82.409798,82.684502,82.380997,82.409798,82.409798,0
2023-06-06,82.511200,82.648003,82.476501,82.511200,82.511200,0
2023-06-07,82.517197,82.622398,82.467003,82.517197,82.517197,0
2023-06-08,82.618103,82.646797,82.469002,82.618103,82.618103,0
2023-06-09,82.488297,82.520798,82.413002,82.488297,82.488297,0
2023-06-12,82.444801,82.555298,82.385399,82.444801,82.444801,0
2023-06-13,82.337196,82.490303,82.152000,82.337196,82.337196,0
2023-06-14,82.290398,82.324997,81.931000,82.290398,82.290398,0
2023-06-15,82.044998,82.263199,81.935997,82.044998,82.044998,0
2023-06-16,81.912697,82.015900,81.851303,81.912697,81.912697,0
2023-06-19,81.914803,82.001999,81.892998,81.914803,81.914803,0
2023-06-20,81.981400,82.164803,81.915298,81.981400,81.981400,0
2023-06-21,81.991798,82.127296,81.946999,81.991798,81.991798,0
2023-06-22,81.941498,82.083801,81.887398,81.941498,81.941498,0
2023-06-23,81.919296,82.078499,81.924896,81.919296,81.919296,0
2023-06-26,81.984802,82.072998,81.943100,81.984802,81.984802,0
2023-06-27,82.006500,82.042198,81.943001,82.006500,82.006500,0
2023-06-28,81.998398,82.085503,81.961098,81.998398,81.998398,0
2023-06-29,82.026497,82.212502,81.997002,82.026497,82.026497,0
2023-06-30,82.075401,82.196297,82.008102,82.075401,82.075401,0
2023-07-03,82.096298,82.112396,81.766197,82.096298,82.096298,0
2023-07-04,81.950104,82.025597,81.866699,81.950104,81.950104,0
2023-07-05,82.007103,82.348198,81.978104,82.007103,82.007103,0
2023-07-06,82.394096,82.823799,82.283501,82.394096,82.394096,0
2023-07-07,82.768402,82.768303,82.533997,82.768402,82.768402,0
2023-07-10,82.615303,82.715302,82.550499,82.615303,82.615303,0
2023-07-11,82.525299,82.633301,81.266899,82.525299,82.525299,0
2023-07-12,82.399902,82.463997,81.972198,82.399902,82.399902,0
